card,color
Akoum Hellhound,R
All That Glitters,W
Ambush Viper,G
Archmage Emeritus,U
Bellowing Tanglewurm,G
Bind the Monster,U
Blasphemous Act,R
Bloodline Pretender,
Cast Out,B
Cathar's Call,W
Cave of the Frost Dragon,W
Curiosity,U
Cyclone Summoner,U
Dazzling Sphinx,U
Didn't Say Please,U
Dragonsguard Elite,G
Embereth Shieldbreaker,R
Epic Downfall,B
Eye Collector,B
Frogify,U
Frost Trickster,U
"Ghalta, Primal Hunger",G
Gnottvold Recluse,G
Gryff's Boon,W
Gutterbones,B
Hobgoblin Captain,R
Iroas's Champion,RW
Izzet Chemister,R
Jhoira's Familiar,
Kiln Fiend,R
Koma's Faithful,B
Legion's Landing,W
Locthwain Paladin,B
Maniacal Rage,R
Minstrosity,B
Murmuring Mystic,U
Piper of the Swarm,B
Professor of Zoomancy,G
Queen Allenal of Ruadach,GW
Quirion Ranger,G
Raging Redcap,R
Rampant Growth,G
Ravenform,U
Relic Amulet,
Rural Recruit,G
Sarulf's Packmate,G
Scute Swarm,G
Season of Growth,G
Sedge Scorpion,G
Selesnya Guildgate,GW
Sign in Blood,B
Simic Growth Chamber,GU
Skull Raid,B
Stormchaser Drake,U
"Syr Alin, the Lion's Claw",W
"Targ Nar, Demon-Fang Gnoll",GR
"Tergrid, God of Fright // Tergrid's Lantern",B
Toxic Deluge,B
Uncaged Fury,R
Unlucky Witness,R
Usher of the Fallen,W
Vampire Nighthawk,B
Water Wings,U
Wildwood Tracker,G
Wizard Class,U
Barge In,R
Demonic Gifts,B
Owlbear,G
Parasitic Grasp,B
Struggle for Skemfar,G
The Huntsman's Redemption,G
Youthful Knight,W
Scorch Spitter,R
Mage Duel,G
Temple of Abandon,GR
Recommission,W
Rabid Bite,G
Smash to Dust,R
Archon of Absolution,W
Blazing Crescendo,R
Etchings of the Chosen,BW
Gnawing Crescendo,R
Ophiomancer,B
Part the Waterveil,U
Specter of Mortality,B
Village Rites,B
Dokuchi Shadow-Walker,B
Hexdrinker,G
Jungle Hollow,BG
Battlefield Raptor,W
Elite Spellbinder,W
Inspiring Overseer,W
Starnheim Courser,W
Stalwart Valkyrie,W
Steel-Plume Marshal,W
Glorious Protector,W
Zulaport Duelist,U
Snaremaster Sprite,U
Augury Owl,U
Beyeen Veil // Beyeen Coast,U
Cloudkin Seer,U
Covert Technician,U
Tome Raider,U
Warden of Evos Isle,U
"Lier, Disciple of the Drowned",U
Faerie Guidemother,W
Watcher of the Spheres,UW
"Kangee, Sky Warden",UW
Bloodbraid Elf,GR
You Find the Villains' Lair,U
Jousting Dummy,
Wood Elves,G
Winged Words,U
Wavebreak Hippocamp,U
Two-Handed Axe,R
Treasure Cruise,U
"Torens, Fist of the Angels",GW
The Goose Mother,GU
Territorial Scythecat,G
Temple of Mystery,GU
Temple of Epiphany,RU
Tangled Colony,B
"Talrand, Sky Summoner",U
Soul-Scar Mage,R
Sinister Sabotage,U
Shackles of Treachery,R
Serum Visions,U
Rugged Highlands,GR
Return to Action,B
Reclamation Sage,G
Prosperous Innkeeper,G
Prismari Campus,UR
Power Word Kill,B
Ponder,U
Paladin of Atonement,W
Oracle of Mul Daya,G
Negate,U
Mystic Reflection,U
Murder,B
Legion Warboss,R
Kiora Bests the Sea God,U
"Jolrael, Voice of Zhalfir",GU
Inferno Titan,R
Heraldic Banner,
Fireblade Artist,BR
Essence Warden,G
Essence Pulse,B
Earthshaker Khenra,R
Duskwielder,B
Dismal Backwater,BU
"Dina, Soul Steeper",BG
Deadly Dispute,B
Claim the Firstborn,R
Branching Evolution,G
Blossoming Sands,GW
Beast Whisperer,G
Avaricious Dragon,R
Arboreal Grazer,G
Goldspan Dragon,R
Dreamshackle Geist,U
Gryff Rider,W
Infiltration Lens,
Rimrock Knight,R
Foulmire Knight,B
Valiant Knight,W
Blacklance Paragon,B
Knight of Dusk's Shadow,B
History of Benalia,W
Hyena Umbra,W
Knight Exemplar,W
Kaya's Onslaught,W
Ardenvale Tactician,W
Smitten Swordmaster,B
Corpse Knight,B
Acclaimed Contender,W
Accorder Paladin,W
"Thalia, Heretic Cathar",W
Adamant Will,W
Adaptive Automaton,
"Balmor, Battlemage Captain",RU
Belle of the Brawl,B
Bitter Triumph,B
Bygone Bishop,W
Cemetery Illuminator,U
Creeping Bloodsucker,B
Cult Conscript,B
Dauntless Unity,W
Distracting Geist,W
Entreat the Angels,W
Forsworn Paladin,B
Foundry Inspector,
Geistlight Snare,U
Gods Willing,W
Halimar Depths,U
Hanged Executioner,W
Hunter's Blowgun,
Inquisitive Puppet,
Intrepid Adversary,W
Iron Apprentice,
Iron Verdict,W
"Katilda, Dawnhart Martyr",W
Lantern Bearer,U
Lovestruck Beast,G
Marauding Blight-Priest,B
Mausoleum Wanderer,U
Metallic Mimic,
Midnight Haunting,W
Midnight Reaper,B
"Millicent, Restless Revenant",UW
Nebelgast Herald,U
Niblis of the Urn,W
Patrician Geist,U
Rattlechains,U
Remorseful Cleric,W
Royal Assassin,B
Sanguine Bond,B
Shacklegeist,U
Solemn Simulacrum,
Spell Queller,BU
Spectral Arcanist,U
"Sram, Senior Edificer",W
Supreme Phantom,U
Sword of Vengeance,
"Thalia, Guardian of Thraben",W
Twinscroll Shaman,R
Unclaimed Territory,
Venerable Knight,W
Wild-Magic Sorcerer,R
Windborn Muse,W
Wintermoor Commander,BW
Witch's Oven,
Territorial Allosaurus,G
Empyrean Eagle,UW
Drogskol Captain,UW
Goblin Electromancer,RU
"Greta, Sweettooth Scourge",BG
Guardian of Faith,W
Mortality Spear,BG
Sproutback Trudge,G
Bristlebud Farmer,G
"Inti, Seneschal of the Sun",R
"Aclazotz, Deepest Betrayal",B
You Hear Something on Watch,W
Luminarch Aspirant,W
Dark Ritual,B
Elder Gargaroth,G
Digsite Engineer,W
Manaform Hellkite,R
"Mikaeus, the Lunarch",W
"Teferi, Mage of Zhalfir",U
"Thousand-Faced Shadow",U
"Koma, Cosmos Serpent",GU
Carnage Tyrant,G
Vein Ripper,B
